torre_id,datalog_id,canal_conexion_dl,sensor_id,altura_medicion,descripcion,unidades,numero_serie,marca,modelo,slope,offset,long_brazo_horizontal,long_brazo_vertical,orientacion,tipo,clase_sensor,anio_instalacion,fecha_instalacion,fecha_certificacion,fecha_calibracion,duracion_calibracion,activo
TRE-008,GNSR_T8-DatLog-1,13,GNSR_T8-V-1,68.0,veleta                                  ,deg,4190329,Thies Clima,4.3151.00.212,144.0,-0.6755,2.0,1.0,5.0,,,2019.0,,,,,True
TRE-008,GNSR_T8-DatLog-1,14,GNSR_T8-V-2,40.0,veleta                                  ,deg,4190330,Thies Clima,4.3151.00.212,144.0,0.1405,2.0,1.0,5.0,,,2019.0,,,,,True
TRE-008,GNSR_T8-DatLog-1,15,GNSR_T8-Ter-1,65.0,termometro                              ,C,442804749,NRG,110 SC,55.4315,-86.62,,,,,,2019.0,,,2018-10-15,365.0,True
TRE-008,GNSR_T8-DatLog-1,16,GNSR_T8-Ter-2,9.0,termometro                              ,C,442804751,NRG,110 SC,55.2891,-85.3,,,,,,2019.0,,,2018-10-15,365.0,True
TRE-009,GNSR_T9-DatLog-1,2,GNSR_T9-A-2,30.0,anemometro                              ,m/s,5161357,Thies Clima,4.3351.10.000,0.04603,0.2316,1.9,1.0,180.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-02-14,,,True
TRE-009,GNSR_T9-DatLog-1,3,GNSR_T9-A-3,20.0,anemometro                              ,m/s,S/S,Thies Clima,4.3351.10.000,0.04604,0.2191,1.9,1.0,180.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-02-14,,,True
TRE-009,GNSR_T9-DatLog-1,21,GNSR_T9-A-4,37.0,anemometro                              ,m/s,5161368,RM Young Company,27106T,18.0941,0.04557,1.9,1.0,180.0,Vertical                                ,,2019.0,,2018-11-08,,,True
TRE-009,GNSR_T9-DatLog-1,13,GNSR_T9-V-1,36.0,veleta                                  ,deg,4190331,Thies Clima,4.3151.00.212,144.0,0.3797,1.9,1.0,0.0,,,2019.0,,,,,True
TRE-009,GNSR_T9-DatLog-1,14,GNSR_T9-V-2,29.0,veleta                                  ,deg,4190332,Thies Clima,4.3151.00.212,144.0,0.0623,1.9,1.0,0.0,,,2019.0,,,,,True
TRE-009,GNSR_T9-DatLog-1,36,GNSR_T9-Ter-1,15.0,termometro                              ,C,442804746,NRG,110 SC,55.9843,-86.89,,,,,,2019.0,,,2018-09-17,365.0,True
TRE-009,GNSR_T9-DatLog-1,6,GNSR_T9-Ter-2,16.0,termometro                              ,C,442804766,NRG,110 SC,55.2389,-84.91,,,,,,2019.0,,,2018-10-15,365.0,True
