torre_id,datalog_id,canal_conexion_dl,sensor_id,altura_medicion,descripcion,unidades,numero_serie,marca,modelo,slope,offset,long_brazo_horizontal,long_brazo_vertical,orientacion,tipo,clase_sensor,anio_instalacion,fecha_instalacion,fecha_certificacion,fecha_calibracion,duracion_calibracion,activo
TRE-001,GNSR_T1-DatLog-1,13,GNSR_T1-V-1,63.0,veleta                                  ,deg,4190335,Thies Clima,4.3151.00.212,144.0,-1.1699,2.2,1.0,320.0,,,2019.0,,,,,True
TRE-001,GNSR_T1-DatLog-1,14,GNSR_T1-V-2,39.0,veleta                                  ,deg,4190336,Thies Clima,4.3151.00.212,144.0,-0.4706,2.2,1.0,320.0,,,2019.0,,,,,True
TRE-002,GNSR_T2-DatLog-1,13,GNSR_T2-V-1,63.0,veleta                                  ,deg,4190337,Thies Clima,4.3151.00.212,144.0,0.3112,2.2,1.0,15.0,,,2019.0,,,,,True
TRE-002,GNSR_T2-DatLog-1,14,GNSR_T2-V-2,39.0,veleta                                  ,deg,4190338,Thies Clima,4.3151.00.212,144.0,0.1612,2.2,1.0,15.0,,,2019.0,,,,,True
TRE-003,GNSR_T3-DatLog-1,13,GNSR_T3-V-1,63.0,veleta                                  ,deg,4190339,Thies Clima,4.3151.00.212,144.0,0.2509,2.2,1.0,330.0,,,2019.0,,,,,True
HPA-T2,HPA-T2-DatLog-1,999,HPA-T2-V-3,40.0,veleta                                  ,deg,1799-00033431,NRG,1799,,,5.0,1.05,,,,2020.0,,,,,True
HPA-T3,HPA-T3-DatLog-1,999,HPA-T3-V-1,78.7,veleta                                  ,deg,1799-00033432,NRG,1799,,,3.0,1.05,,,,2020.0,,,,,True
HPA-T3,HPA-T3-DatLog-1,999,HPA-T3-V-2,60.0,veleta                                  ,deg,1799-00033420,NRG,1799,,,5.0,1.05,,,,2020.0,,,,,True
HPA-T3,HPA-T3-DatLog-1,999,HPA-T3-V-3,40.0,veleta                                  ,deg,1799-00033422,NRG,1799,,,5.0,1.05,,,,2020.0,,,,,True
HPA-T4,HPA-T4-DatLog-1,999,HPA-T4-V-1,78.7,veleta                                  ,deg,1799-00033419,NRG,1799,,,3.0,1.05,,,,2020.0,,,,,True
HPA-T4,HPA-T4-DatLog-1,999,HPA-T4-V-2,60.0,veleta                                  ,deg,1799-00033421,NRG,1799,,,5.0,1.05,,,,2020.0,,,,,True
